SubjNum,Name,Start Time,End Time,Days of Week,Room,Building
AE483,Autonomous Systems Lab,9:00 AM,10:50 AM,M,302,Transportation Building
AE485,Spacecraft Environment and Interactions,10:00 AM,11:20 AM,TR,410B1,Engineering Hall
AE497,Independent Study,ARRANGED,,,,
AE498,Special Topics,9:00 AM,9:50 AM,MWF,403B2,Engineering Hall
AE504,Optimal Aerospace Systems,1:00 PM,2:20 PM,TR,410C1,Engineering Hall
AE512,Molecular Gas Dynamics,1:00 PM,2:50 PM,MW,403B2,Engineering Hall
AE542,Aerospace Syst Engineering I,10:00 AM,11:20 AM,TR,410C1,Engineering Hall
AE590,Seminar,4:00 PM,4:50 PM,M,2035,Campus Instructional Facility
AE597,Independent Study,ARRANGED,,,,
AE599,Thesis Research,ARRANGED,,,,
AFAS102,Leadership Laboratory,6:00 AM,7:20 AM,M,,
AFAS111,Heritage and Values of the United States Air Force I,11:00 AM,11:50 AM,W,325,Armory
AFAS120,Intro to US Armed Forces,12:30 PM,1:50 PM,TR,134,Armory
AFAS221,Team and Leadership Fundamentals I,2:00 PM,2:50 PM,W,241,Armory
AFAS331,Leading People and Effective Communication I,8:00 AM,8:50 AM,MWF,243,Armory
AFAS341,Nat Sec Afrs/Prep Actv Duty I,8:00 AM,8:50 AM,MWF,325,Armory
AFRO100,Intro to African American St,2:00 PM,3:20 PM,TR,217,Noyes Laboratory
AFRO101,"Black America, 1619-Present",10:00 AM,10:50 AM,W,108,David Kinley Hall
AFRO106,Hist Arch Americas,12:00 PM,12:50 PM,MWF,217,Noyes Laboratory
AFRO134,"Religion, Race, and Resistance",11:00 AM,11:50 AM,F,132,Davenport Hall
AFRO201,US Racial &amp; Ethnic Politics,ARRANGED,,,,
AFRO224,Humanist Persp of Afro-Am Exp,9:30 AM,10:50 AM,TR,W203,Turner Hall
AFRO227,Studies in Black Television,3:30 PM,4:50 PM,TR,1022,Foreign Languages Building
AFRO243,Pan Africanism,11:00 AM,12:20 PM,TR,1028,Lincoln Hall
AFRO250,Introduction to Health and Wellness in the Black Community,1:00 PM,2:20 PM,MW,G24,Foreign Languages Building
AFRO259,Early African American Literature and Culture,10:00 AM,10:50 AM,MWF,108,English Building
AFRO281,Constructing Race in America,9:00 AM,9:50 AM,F,327,Gregory Hall
AFRO310,Race and Cultural Diversity,2:00 PM,3:50 PM,R,,
AFRO312,Psychology of Race &amp; Ethnicity,11:00 AM,12:20 PM,TR,160,English Building
AFRO343,Criminalization and Punishment,3:30 PM,4:50 PM,TR,G46,Foreign Languages Building
AFRO383,Hist of Blk Women's Activism,3:00 PM,4:20 PM,MW,132,Bevier Hall
AFRO411,African American Psychology,9:30 AM,10:50 AM,TR,111,Gregory Hall
AFRO421,Racial and Ethnic Families,ARRANGED,,,,
AFRO482,Immersion Journalism,4:00 PM,6:50 PM,W,336,Gregory Hall
AFRO490,Theory in African American St,2:30 PM,4:50 PM,W,G24,Foreign Languages Building
AFRO498,Spec Topics African Am Studies,2:00 PM,4:50 PM,M,2025,Campus Instructional Facility
AFRO595,Directed Independent Readings,ARRANGED,,,,
AFRO597,Problems in African-Am Studies,2:30 PM,4:30 PM,S,,
AFST111,History of Africa to 1800,10:00 AM,11:20 AM,MW,146,Armory
AFST199,Undergraduate Open Seminar,ARRANGED,,,,
AFST213,African Muslim Societies,11:00 AM,12:20 PM,TR,156,Henry Administration Bldg
AFST231,Elementary Swahili I,1:00 PM,1:50 PM,W,G17,Foreign Languages Building
AFST233,Context in International Interventions,2:00 PM,3:20 PM,TR,302,Architecture Building
AFST241,Elementary Wolof I,ARRANGED,,,,
AFST243,Pan Africanism,11:00 AM,12:20 PM,TR,1028,Lincoln Hall
AFST251,Elementary Zulu I,ARRANGED,,,,
AFST405,Topics Swahili Lang &amp; Lit I,ARRANGED,,,,
AFST407,Adv Topics Swahili Lang&amp;Lit I,ARRANGED,,,,
AFST433,Intermediate Swahili I,2:00 PM,2:50 PM,W,G17,Foreign Languages Building
